id,name,abvr,geo,order,y
ap:13:11610,GA-11,GA-11,Georgia 11,126,
ap:13:12237,GA-12,GA-12,Georgia 12,127,
ap:13:12238,GA-13,GA-13,Georgia 13,128,
ap:13:12463,GA-14,GA-14,Georgia 14,129,
ap:15:12881,HI-1,HI-1,Hawaii 1,130,
ap:15:12008,HI-2,HI-2,Hawaii 2,131,
ap:19:17071,IA-1,IA-1,Iowa 1,132,
ap:19:17072,IA-2,IA-2,Iowa 2,133,
ap:19:17073,IA-3,IA-3,Iowa 3,134,
ap:19:17074,IA-4,IA-4,Iowa 4,135,
ap:16:13253,ID-1,ID-1,Idaho 1,136,
ap:16:13254,ID-2,ID-2,Idaho 2,137,
ap:17:15990,IL-1,IL-1,Illinois 1,138,
ap:17:16310,IL-2,IL-2,Illinois 2,139,
ap:17:15992,IL-3,IL-3,Illinois 3,140,
ap:17:15993,IL-4,IL-4,Illinois 4,141,
ap:17:15994,IL-5,IL-5,Illinois 5,142,
ap:17:15995,IL-6,IL-6,Illinois 6,143,
ap:17:15996,IL-7,IL-7,Illinois 7,144,
ap:17:15997,IL-8,IL-8,Illinois 8,145,
ap:17:15998,IL-9,IL-9,Illinois 9,146,
ap:17:15999,IL-10,IL-10,Illinois 10,147,
ap:17:16000,IL-11,IL-11,Illinois 11,148,
ap:17:16001,IL-12,IL-12,Illinois 12,149,
ap:17:16002,IL-13,IL-13,Illinois 13,150,
ap:17:16003,IL-14,IL-14,Illinois 14,151,
ap:17:16004,IL-15,IL-15,Illinois 15,152,
ap:17:16005,IL-16,IL-16,Illinois 16,153,
ap:17:16006,IL-17,IL-17,Illinois 17,154,
ap:18:15014,IN-1,IN-1,Indiana 1,155,
ap:18:15017,IN-2,IN-2,Indiana 2,156,
ap:18:15020,IN-3,IN-3,Indiana 3,157,
ap:18:15023,IN-4,IN-4,Indiana 4,158,
ap:18:15026,IN-5,IN-5,Indiana 5,159,
ap:18:15029,IN-6,IN-6,Indiana 6,160,
ap:18:15032,IN-7,IN-7,Indiana 7,161,
ap:18:15035,IN-8,IN-8,Indiana 8,162,
ap:18:15038,IN-9,IN-9,Indiana 9,163,
ap:20:17007,KS-1,KS-1,Kansas 1,164,
ap:20:17355,KS-2,KS-2,Kansas 2,165,
ap:20:17009,KS-3,KS-3,Kansas 3,166,
ap:20:17720,KS-4,KS-4,Kansas 4,167,
ap:21:18622,KY-1,KY-1,Kentucky 1,168,
ap:21:18624,KY-2,KY-2,Kentucky 2,169,
ap:21:18009,KY-3,KY-3,Kentucky 3,170,
ap:21:18835,KY-4,KY-4,Kentucky 4,171,
ap:21:18013,KY-5,KY-5,Kentucky 5,172,
ap:21:18015,KY-6,KY-6,Kentucky 6,173,
ap:22:20048,LA-1,LA-1,Louisiana 1,174,
ap:22:20049,LA-2,LA-2,Louisiana 2,175,
ap:22:20050,LA-3,LA-3,Louisiana 3,176,
ap:22:20051,LA-4,LA-4,Louisiana 4,177,
ap:22:20052,LA-5,LA-5,Louisiana 5,178,
ap:22:20053,LA-6,LA-6,Louisiana 6,179,
ap:25:22947,MA-1,MA-1,Massachusetts 1,180,
ap:25:22948,MA-2,MA-2,Massachusetts 2,181,
ap:25:22949,MA-3,MA-3,Massachusetts 3,182,
ap:25:22950,MA-4,MA-4,Massachusetts 4,183,
ap:25:24356,MA-5,MA-5,Massachusetts 5,184,
ap:25:22952,MA-6,MA-6,Massachusetts 6,185,
ap:25:22953,MA-7,MA-7,Massachusetts 7,186,
ap:25:22954,MA-8,MA-8,Massachusetts 8,187,
ap:25:23865,MA-9,MA-9,Massachusetts 9,188,
ap:24:21746,MD-1,MD-1,Maryland 1,189,
ap:24:21749,MD-2,MD-2,Maryland 2,190,
ap:24:21752,MD-3,MD-3,Maryland 3,191,
ap:24:21754,MD-4,MD-4,Maryland 4,192,
ap:24:21757,MD-5,MD-5,Maryland 5,193,
ap:24:21760,MD-6,MD-6,Maryland 6,194,
ap:24:21762,MD-7,MD-7,Maryland 7,195,
ap:24:21764,MD-8,MD-8,Maryland 8,196,
ap:23:20644,ME-1,ME-1,Maine 1,197,
ap:23:20645,ME-2,ME-2,Maine 2,198,
ap:26:23805,MI-1,MI-1,Michigan 1,199,
ap:26:23806,MI-2,MI-2,Michigan 2,200,
ap:26:23807,MI-3,MI-3,Michigan 3,201,
ap:26:23808,MI-4,MI-4,Michigan 4,202,
ap:26:23809,MI-5,MI-5,Michigan 5,203,
ap:26:23810,MI-6,MI-6,Michigan 6,204,
ap:26:23811,MI-7,MI-7,Michigan 7,205,
